event_id,event_date,actor1_name,actor1_country,actor2_name,actor2_country,geo_country,geo_lat,geo_long,event_code,impact_score,num_mentions,num_sources,num_articles,avg_tone
410446903,2015-01-20,PARIS,FRA,DANISH,DNK,FR,45.6333,5.73333,190,-10.0,6,1,6,-6.75355450236967
410446904,2015-01-20,FRANCE,FRA,DENMARK,DNK,DA,55.6667,12.5833,190,-10.0,2,1,2,-6.75355450236967
410446905,2015-01-20,PARIS,FRA,DENMARK,DNK,SW,62.0,15.0,190,-10.0,2,1,2,-6.75355450236967
410446906,2015-01-20,FRANCE,FRA,SWEDEN,SWE,SW,62.0,15.0,10,0.0,6,1,6,-0.0822368421052699
410446907,2015-01-20,FRANCE,FRA,SWEDEN,SWE,SW,62.0,15.0,10,0.0,2,1,2,-0.0822368421052699
410446908,2015-01-20,FRANCE,FRA,SWEDEN,SWE,GM,51.0,9.0,10,0.0,2,1,2,-0.0822368421052699
410446909,2015-01-20,FRANCE,FRA,SWEDEN,SWE,GM,51.0,9.0,36,4.0,6,1,6,-0.0822368421052699
410446910,2015-01-20,FRANCE,FRA,SWEDEN,SWE,GM,51.0,9.0,36,4.0,2,1,2,-0.0822368421052699
410446911,2015-01-20,FRANCE,FRA,SWEDEN,SWE,GM,51.0,9.0,36,4.0,2,1,2,-0.0822368421052699
410446912,2015-01-20,THE PM,,GUJARAT,IND,IN,28.6667,77.2167,71,7.4,3,1,3,-3.80952380952381
410446913,2015-01-20,INDONESIA,IDN,POLICE,,ID,-5.0,120.0,114,-2.0,4,1,4,-7.94044665012411
410446914,2015-01-20,ISRAEL,ISR,,,IR,32.0,53.0,110,-2.0,2,1,2,-3.63636363636364
410446915,2015-01-20,DISTRICT COURT,,,,US,39.05,-95.7669,71,7.4,2,1,2,1.26050420168068
410446916,2015-01-20,JUDGE,,,,US,43.0389,-87.9065,90,-2.0,10,1,10,-5.18763796909492
410446917,2015-01-20,TYRE,LBN,CHIEF MINISTER,,IN,12.9833,77.5833,42,1.9,6,1,6,-1.96078431372549
410446918,2015-01-20,TYRE,LBN,CHIEF MINISTER,,IN,8.50694,76.9569,42,1.9,3,1,3,-1.96078431372549
410446919,2015-01-20,REBELLION,,PARIS,FRA,FR,45.6333,5.73333,180,-9.0,10,1,10,-7.40740740740742
410446920,2015-01-20,REBEL GROUP,,GOVERNMENT,,YM,14.5333,44.975,1041,-5.0,10,1,10,-2.44140625
410446921,2015-01-20,UNITED STATES,USA,,,US,32.7153,-117.157,16,-2.0,4,1,4,-12.2137404580152
410446922,2015-01-20,UNITED STATES,USA,UNITED STATES,USA,US,39.05,-95.7669,71,7.4,4,1,4,1.26050420168068
410446923,2015-01-20,UNITED STATES,USA,,,US,39.05,-95.7669,71,7.4,4,1,4,1.26050420168068
410446924,2015-02-12,,,GOVERNOR,,US,33.7712,-111.388,36,4.0,10,1,10,-3.94736842105263
410446925,2015-02-12,,,UNITED STATES,USA,US,37.4241,-122.166,43,2.8,1,1,1,0.71530758226037
410446926,2015-02-12,,,OBAMA,USA,US,36.17,-119.746,43,2.8,6,1,6,0.71530758226037
410446927,2015-02-12,POLICE,,,,US,39.8167,-91.6002,90,-2.0,10,1,10,0.83752093802345
410446928,2015-02-12,POLICE,,,,US,44.6501,-74.3496,193,-10.0,6,1,6,-4.84927916120576
410446929,2015-02-12,FRANCE,FRA,BELARUS,BLR,GM,51.0,9.0,45,5.0,4,1,4,-7.33333333333334
410446930,2015-02-12,FRANCE,FRA,BELARUS,BLR,GM,51.0,9.0,45,5.0,6,1,6,-7.33333333333334
410446931,2015-02-12,GOVERNOR,,,,US,33.7712,-111.388,36,4.0,10,1,10,-3.94736842105263
410446932,2015-02-12,JUDGE,,,,US,33.7712,-111.388,20,3.0,6,1,6,-3.94736842105263
410446933,2015-02-12,JUDGE,,UNITED STATES,USA,US,33.7712,-111.388,20,3.0,4,1,4,-3.94736842105263
410446934,2015-02-12,SENATE,,BIBI NETANYAHU,ISR,US,33.8191,-80.9066,51,3.4,6,1,6,0.86633663366337
410446935,2015-02-12,JOURNALIST,,,,UP,50.4333,30.5167,110,-2.0,8,1,8,-6.22406639004149
410446936,2015-02-12,REFUGEE,,SYRIA,SYR,SY,35.0,38.0,14,0.0,2,1,2,-5.78093306288032
410446937,2015-02-12,REFUGEE,,TEXAS,USA,SY,35.0,38.0,14,0.0,6,1,6,-5.78093306288032
410446938,2015-02-12,SYRIA,SYR,TEXAS,USA,SY,35.0,38.0,14,0.0,2,1,2,-5.78093306288032
410446939,2015-02-12,GUNMEN,,,,DA,56.0,10.0,193,-10.0,5,1,5,-3.83064516129032
410446940,2015-02-12,GUNMEN,,CHRISTIAN,,LY,25.0,17.0,193,-10.0,5,1,5,-3.83064516129032
